Fund Holdings as of,"27/jan/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AAPL","APPLE INC","IT","Aandelen","2.055.167.496,84","4,59","2.055.167.496,84","12.907.722,00","159,22","Verenigde Staten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aandelen","1.671.239.796,48","3,73","1.671.239.796,48","5.573.772,00","299,84","Verenigde Staten","NASDAQ","USD"
"AMZN","AMAZON COM INC","Luxe-consumentengoederen","Aandelen","992.663.438,25","2,22","992.663.438,25","355.443,00","2.792,75","Verenigde Staten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communicatie","Aandelen","607.734.814,70","1,36","607.734.814,70","235.547,00","2.580,10","Verenigde Staten","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communicatie","Aandelen","582.557.798,12","1,30","582.557.798,12","225.586,00","2.582,42","Verenigde Staten","NASDAQ","USD"
"FB","META PLATFORMS INC CLASS A","Communicatie","Aandelen","548.884.561,36","1,23","548.884.561,36","1.862.899,00","294,64","Verenigde Staten","NASDAQ","USD"
"TSLA","TESLA INC","Luxe-consumentengoederen","Aandelen","544.123.406,20","1,22","544.123.406,20","656.282,00","829,10","Verenigde Staten","NASDAQ","USD"
"NVDA","NVIDIA CORP","IT","Aandelen","429.743.615,60","0,96","429.743.615,60","1.958.365,00","219,44","Verenigde Staten","NASDAQ","USD"
"JNJ","JOHNSON & JOHNSON","Gezondheidszorg","Aandelen","351.866.610,55","0,79","351.866.610,55","2.062.645,00","170,59","Verenigde Staten","New York Stock Exchange Inc.","USD"
"UNH","UNITEDHEALTH GROUP INC","Gezondheidszorg","Aandelen","340.522.320,00","0,76","340.522.320,00","737.700,00","461,60","Verenigde Staten","New York Stock Exchange Inc.","USD"
"JPM","JPMORGAN CHASE & CO","Financiële waarden","Aandelen","339.510.711,98","0,76","339.510.711,98","2.336.458,00","145,31","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financiële waarden","Aandelen","320.933.961,37","0,72","320.933.961,37","1.043.111,00","307,67","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Basis-consumentengoederen","Aandelen","302.411.925,04","0,68","302.411.925,04","1.900.408,00","159,13","Verenigde Staten","New York Stock Exchange Inc.","USD"
"HD","HOME DEPOT INC","Luxe-consumentengoederen","Aandelen","295.803.395,58","0,66","295.803.395,58","829.906,00","356,43","Verenigde Staten","New York Stock Exchange Inc.","USD"
"NESN","NESTLE SA","Basis-consumentengoederen","Aandelen","280.198.207,96","0,63","280.198.207,96","2.206.176,00","127,01","Zwitserland","SIX Swiss Exchange","CHF"
"V","VISA INC CLASS A","IT","Aandelen","271.817.845,60","0,61","271.817.845,60","1.318.544,00","206,15","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BAC","BANK OF AMERICA CORP","Financiële waarden","Aandelen","269.508.419,90","0,60","269.508.419,90","5.927.170,00","45,47","Verenigde Staten","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energie","Aandelen","249.456.993,60","0,56","249.456.993,60","3.320.780,00","75,12","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","IT","Aandelen","241.414.567,89","0,54","241.414.567,89","688.713,00","350,53","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PFE","PFIZER INC","Gezondheidszorg","Aandelen","232.101.380,07","0,52","232.101.380,07","4.348.911,00","53,37","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ASML","ASML HOLDING NV","IT","Aandelen","210.191.383,46","0,47","210.191.383,46","323.600,00","649,54","Nederland","Euronext Amsterdam","EUR"
"ROG","ROCHE HOLDING PAR AG","Gezondheidszorg","Aandelen","208.426.148,05","0,47","208.426.148,05","547.486,00","380,70","Zwitserland","SIX Swiss Exchange","CHF"
"CVX","CHEVRON CORP","Energie","Aandelen","204.405.451,12","0,46","204.405.451,12","1.509.976,00","135,37","Verenigde Staten","New York Stock Exchange Inc.","USD"
"DIS","WALT DISNEY","Communicatie","Aandelen","192.137.146,08","0,43","192.137.146,08","1.418.824,00","135,42","Verenigde Staten","New York Stock Exchange Inc.","USD"
"KO","COCA-COLA","Basis-consumentengoederen","Aandelen","190.383.831,30","0,43","190.383.831,30","3.191.682,00","59,65","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ABBV","ABBVIE INC","Gezondheidszorg","Aandelen","186.142.658,06","0,42","186.142.658,06","1.368.998,00","135,97","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Basis-consumentengoederen","Aandelen","183.947.167,79","0,41","183.947.167,79","1.086.067,00","169,37","Verenigde Staten","NASDAQ","USD"
"ADBE","ADOBE INC","IT","Aandelen","183.633.514,20","0,41","183.633.514,20","372.444,00","493,05","Verenigde Staten","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","IT","Aandelen","180.335.303,70","0,40","180.335.303,70","3.301.635,00","54,62","Verenigde Staten","NASDAQ","USD"
"WFC","WELLS FARGO","Financiële waarden","Aandelen","174.052.139,52","0,39","174.052.139,52","3.237.577,00","53,76","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AVGO","BROADCOM INC","IT","Aandelen","171.391.652,40","0,38","171.391.652,40","316.040,00","542,31","Verenigde Staten","NASDAQ","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Gezondheidszorg","Aandelen","170.869.766,76","0,38","170.869.766,76","308.574,00","553,74","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CMCSA","COMCAST CORP CLASS A","Communicatie","Aandelen","170.839.840,22","0,38","170.839.840,22","3.558.422,00","48,01","Verenigde Staten","NASDAQ","USD"
"MC","LVMH","Luxe-consumentengoederen","Aandelen","169.330.035,35","0,38","169.330.035,35","218.846,00","773,74","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"ABT","ABBOTT LABORATORIES","Gezondheidszorg","Aandelen","166.233.696,80","0,37","166.233.696,80","1.380.220,00","120,44","Verenigde Staten","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Basis-consumentengoederen","Aandelen","165.537.340,80","0,37","165.537.340,80","1.218.620,00","135,84","Verenigde Staten","New York Stock Exchange Inc.","USD"
"COST","COSTCO WHOLESALE CORP","Basis-consumentengoederen","Aandelen","165.142.952,52","0,37","165.142.952,52","342.251,00","482,52","Verenigde Staten","NASDAQ","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communicatie","Aandelen","164.877.051,96","0,37","164.877.051,96","3.220.884,00","51,19","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ACN","ACCENTURE PLC CLASS A","IT","Aandelen","163.799.436,24","0,37","163.799.436,24","491.359,00","333,36","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CRM","SALESFORCE.COM INC","IT","Aandelen","161.823.233,88","0,36","161.823.233,88","760.662,00","212,74","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MRK","MERCK & CO INC","Gezondheidszorg","Aandelen","159.748.963,62","0,36","159.748.963,62","1.982.489,00","80,58","Verenigde Staten","New York Stock Exchange Inc.","USD"
"USD","USD CASH","Liquide middelen en/of derivaten","Liquiditeiten","158.535.753,68","0,35","158.535.753,68","158.535.754,00","100,00","Verenigde Staten","-","USD"
"7203","TOYOTA MOTOR CORP","Luxe-consumentengoederen","Aandelen","154.167.031,05","0,34","154.167.031,05","8.228.300,00","18,74","Japan","Tokyo Stock Exchange","JPY"
"LLY","ELI LILLY","Gezondheidszorg","Aandelen","150.536.876,16","0,34","150.536.876,16","635.928,00","236,72","Verenigde Staten","New York Stock Exchange Inc.","USD"
"INTC","INTEL CORPORATION CORP","IT","Aandelen","149.828.260,70","0,33","149.828.260,70","3.118.174,00","48,05","Verenigde Staten","NASDAQ","USD"
"NOVN","NOVARTIS AG","Gezondheidszorg","Aandelen","149.225.942,90","0,33","149.225.942,90","1.744.653,00","85,53","Zwitserland","SIX Swiss Exchange","CHF"
"AZN","ASTRAZENECA PLC","Gezondheidszorg","Aandelen","145.833.303,52","0,33","145.833.303,52","1.232.411,00","118,33","Verenigd Koninkrijk","London Stock Exchange","GBP"
